대륙,국적,성별,D-1(문화예술),D-2(유학),D-3(기술연수),D-4(일반연수),D-5(취재),D-6(종교),D-7(주재),D-8(기업투자),D-9(무역경영),D-10(구직),E-1(교수),E-2(회화강사),E-3(연구),E-4(기술지도),E-5(전문직업),E-6(예술흥행),E-7(특정활동),E-9(비전문취업),E-10(선원취업),F-1(방문동거),F-2(거주),F-3(동반),F-5(영주),F-6(결혼이민),G-1(기타),H-1(관광취업),H-2(방문취업),기타(other)
아시아주,한국계중국인,남성,1,465,80,130,1,1,12,35,2,,3,,2,,,4,18,352,1,9474,5207,18,47026,6693,162,,117420,5
아시아주,한국계중국인,여성,1,682,59,112,,,1,19,2,,3,3,1,,,,6,257,,10679,5729,35,41833,10683,70,,75235,3
아시아주,중국,남성,10,22044,375,4651,10,11,246,764,109,899,88,44,232,1,,121,6177,1989,2601,14275,6863,551,11234,4467,2779,,16,272
아시아주,중국,여성,6,37619,253,5082,11,28,79,221,33,1404,78,708,90,,,97,3466,274,1,22374,10856,1163,22213,19586,1325,,17,268
아시아주,베트남,남성,2,8120,81,20420,,37,26,20,5,271,28,,167,1,,14,1910,32979,8030,13180,1187,474,372,2691,672,,,108
아시아주,베트남,여성,1,10154,23,16538,,119,4,7,2,323,9,5,54,,,2,297,3230,1,22111,2064,1333,1621,38254,269,,,118
아시아주,우즈베키스탄,남성,,5782,130,2977,,1,4,45,29,185,8,,8,,,16,211,12958,,3660,365,293,258,118,555,,10910,61
아시아주,우즈베키스탄,여성,,1045,,247,,,,7,3,30,2,,2,,,6,18,196,,3927,271,445,974,1561,49,,8849,31
아시아주,필리핀,남성,,202,74,93,,107,22,23,87,11,32,,18,1,21,189,308,22596,30,566,131,155,53,417,266,,,133
아시아주,필리핀,여성,1,312,55,70,,138,2,10,5,51,47,,22,,,1576,127,2448,6,2624,302,341,610,10470,297,,,305
아시아주,캄보디아,남성,,196,1,66,,6,,9,3,10,1,,4,,,,41,28945,,902,48,9,8,363,41,,,24
아시아주,캄보디아,여성,,136,,46,,1,,2,,10,,,1,,,,13,8233,,1573,160,41,86,3970,36,,,31
아시아주,네팔,남성,,1335,3,198,,57,,56,32,71,10,,75,,,,654,32869,,99,146,126,65,136,393,,,93
아시아주,네팔,여성,,629,,148,,15,,5,4,22,2,,12,,,,5,2110,,214,159,400,59,589,114,,,28
아시아주,인도네시아,남성,,541,27,100,,16,10,11,11,29,12,,104,2,18,3,129,26535,5675,14,43,122,22,81,69,,,90
